ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,SUM,Num Reference Summaries
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.30623,0.30588,0.30605,0.91781,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.31203,0.31884,0.3154,0.95308,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.3157,0.3482,0.33115,1.02755,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.44776,0.53846,0.48894,1.56586,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.19257,0.32993,0.24319,0.90305,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.29539,0.43519,0.35191,1.22229,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.22967,0.19416,0.21042,0.59874,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.30535,0.53409,0.38856,1.45674,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.20668,0.22368,0.21485,0.66221,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.37173,0.67054,0.4783,1.81938,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.17727,0.31746,0.2275,0.86242,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.3441,0.56738,0.42839,1.56315,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.17442,0.24713,0.2045,0.69876,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.43852,0.58405,0.50093,1.66903,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.15911,0.32922,0.21454,0.87298,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.39225,0.44844,0.41847,1.31535,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.19101,0.2619,0.22091,0.74471,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.32257,0.38063,0.34921,1.11047,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.22854,0.21081,0.21932,0.64094,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.48,0.45908,0.46931,1.38747,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.20974,0.22428,0.21677,0.66533,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.47225,0.61864,0.53562,1.7729,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.18844,0.23039,0.20732,0.6681,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.46816,0.57214,0.51496,1.65924,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.14572,0.24176,0.18184,0.66536,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.45906,0.49448,0.47611,1.46507,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.25073,0.39755,0.30751,1.10261,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.54642,0.49634,0.52018,1.51286,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.29345,0.5015,0.37025,1.37325,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.33298,0.71296,0.45395,1.87987,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.15421,0.3125,0.20652,0.83152,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.28548,0.42017,0.33997,1.18031,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.2691,0.25967,0.2643,0.78364,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.41694,0.46099,0.43786,1.35984,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.23586,0.36207,0.28564,1.00978,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.42012,0.55923,0.4798,1.59826,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.17084,0.24425,0.20105,0.68955,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.3811,0.54012,0.44689,1.52713,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.19495,0.23775,0.21423,0.68973,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.37248,0.52507,0.4358,1.48594,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.25597,0.23582,0.24548,0.71712,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.44785,0.58073,0.50571,1.66717,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.29316,0.30784,0.30032,0.916,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.5698,0.43651,0.49433,1.36735,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.30867,0.38194,0.34142,1.1053,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.35423,0.53722,0.42694,1.50138,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.19113,0.27434,0.2253,0.77398,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.53908,0.52147,0.53013,1.57307,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.15886,0.24742,0.19349,0.68833,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.55817,0.69333,0.61845,2.00511,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.16632,0.26282,0.20372,0.72936,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.43766,0.39411,0.41474,1.20296,3
